"year","zone","dataCollectionTime","group","measure","value"
"2012","S01001999","6 To 8 Week Review","Exclusively Breastfed","Ratio",100
"2013","S01001999","6 To 8 Week Review","Exclusively Breastfed","Ratio","83.3"
"2003","S01001999","6 To 8 Week Review","Exclusively Breastfed","Ratio",50
"2002","S01001999","6 To 8 Week Review","Exclusively Breastfed","Ratio",100
"2001","S01001999","6 To 8 Week Review","Exclusively Breastfed","Ratio",0
"2004","S01001999","First Visit","Breastfed","Ratio",100
"2001","S01001999","First Visit","Exclusively Breastfed","Ratio",50
"2004","S01001999","First Visit","Exclusively Breastfed","Ratio",100
"2005","S01001999","First Visit","Exclusively Breastfed","Ratio",20
"2007","S01001999","First Visit","Breastfed","Ratio","66.7"
"2011","S01001999","First Visit","Breastfed","Ratio",100
"2012","S01001999","First Visit","Breastfed","Ratio",100
"2008","S01001999","First Visit","Breastfed","Ratio",100
"2002","S01001999","First Visit","Exclusively Breastfed","Ratio",100
"2006","S01001999","First Visit","Exclusively Breastfed","Ratio",60
"2013","S01001999","First Visit","Breastfed","Ratio",100
"2006","S01001999","First Visit","Breastfed","Ratio",100
"2011","S01001999","First Visit","Exclusively Breastfed","Ratio",100
"2012","S01001999","First Visit","Exclusively Breastfed","Ratio",100
"2005","S01001999","First Visit","Breastfed","Ratio",100
"2007","S01001999","First Visit","Exclusively Breastfed","Ratio","66.7"
"2009","S01001999","First Visit","Breastfed","Ratio",80
"2003","S01001999","First Visit","Breastfed","Ratio",100
"2008","S01001999","First Visit","Exclusively Breastfed","Ratio",100
"2003","S01001999","First Visit","Exclusively Breastfed","Ratio",100
"2009","S01001999","First Visit","Exclusively Breastfed","Ratio",60
"2002","S01001999","First Visit","Breastfed","Ratio",100
"2001","S01001999","First Visit","Breastfed","Ratio",50
"2013","S01001999","First Visit","Exclusively Breastfed","Ratio",80
"2010","S01001999","First Visit","Breastfed","Ratio",100
"2010","S01001999","First Visit","Exclusively Breastfed","Ratio",80
"2001","S01002000","First Visit","Exclusively Breastfed","Count",4
"2003","S01002000","6 To 8 Week Review","Breastfed","Count",4
"2004","S01002000","6 To 8 Week Review","Exclusively Breastfed","Count",3
"2004","S01002000","First Visit","Exclusively Breastfed","Count",1
"2007","S01002000","First Visit","Breastfed","Count",4
"2005","S01002000","6 To 8 Week Review","Exclusively Breastfed","Count",3
"2004","S01002000","6 To 8 Week Review","Breastfed","Count",4
"2005","S01002000","First Visit","Exclusively Breastfed","Count",5
"2011","S01002000","First Visit","Breastfed","Count",5
"2010","S01002000","6 To 8 Week Review","Breastfed","Count",4
"2006","S01002000","6 To 8 Week Review","Exclusively Breastfed","Count",1
"2002","S01002000","First Visit","Exclusively Breastfed","Count",3
"2008","S01002000","First Visit","Breastfed","Count",3
"2012","S01002000","6 To 8 Week Review","Breastfed","Count",3
"2006","S01002000","First Visit","Breastfed","Count",1
"2012","S01002000","First Visit","Breastfed","Count",5
"2007","S01002000","6 To 8 Week Review","Exclusively Breastfed","Count",3
"2008","S01002000","6 To 8 Week Review","Exclusively Breastfed","Count",2
"2004","S01002000","First Visit","Breastfed","Count",3
"2006","S01002000","First Visit","Exclusively Breastfed","Count",1
"2008","S01002000","6 To 8 Week Review","Breastfed","Count",2
"2013","S01002000","6 To 8 Week Review","Breastfed","Count",6
"2009","S01002000","6 To 8 Week Review","Exclusively Breastfed","Count",5
"2013","S01002000","First Visit","Breastfed","Count",6
"2011","S01002000","First Visit","Exclusively Breastfed","Count",2
"2010","S01002000","6 To 8 Week Review","Exclusively Breastfed","Count",4
"2002","S01002000","6 To 8 Week Review","Breastfed","Count",2
"2006","S01002000","6 To 8 Week Review","Breastfed","Count",2
"2012","S01002000","First Visit","Exclusively Breastfed","Count",3
"2007","S01002000","First Visit","Exclusively Breastfed","Count",3
"2011","S01002000","6 To 8 Week Review","Exclusively Breastfed","Count",4
"2009","S01002000","6 To 8 Week Review","Breastfed","Count",6
"2008","S01002000","First Visit","Exclusively Breastfed","Count",2
"2012","S01002000","6 To 8 Week Review","Exclusively Breastfed","Count",3
"2009","S01002000","First Visit","Breastfed","Count",6
"2003","S01002000","First Visit","Breastfed","Count",4
"2005","S01002000","First Visit","Breastfed","Count",7
"2013","S01002000","6 To 8 Week Review","Exclusively Breastfed","Count",5
"2005","S01002000","6 To 8 Week Review","Breastfed","Count",7
"2003","S01002000","First Visit","Exclusively Breastfed","Count",3
"2002","S01002000","First Visit","Breastfed","Count",4
"2003","S01002000","6 To 8 Week Review","Exclusively Breastfed","Count",3
"2001","S01002000","6 To 8 Week Review","Breastfed","Count",2
"2009","S01002000","First Visit","Exclusively Breastfed","Count",5
"2001","S01002000","First Visit","Breastfed","Count",4
"2010","S01002000","First Visit","Breastfed","Count",4
"2007","S01002000","6 To 8 Week Review","Breastfed","Count",4
"2002","S01002000","6 To 8 Week Review","Exclusively Breastfed","Count",2
"2013","S01002000","First Visit","Exclusively Breastfed","Count",5
"2001","S01002000","6 To 8 Week Review","Exclusively Breastfed","Count",1
"2010","S01002000","First Visit","Exclusively Breastfed","Count",3
"2011","S01002000","6 To 8 Week Review","Breastfed","Count",4
"2010","S01002000","6 To 8 Week Review","Breastfed","Ratio","57.1"
"2011","S01002000","6 To 8 Week Review","Breastfed","Ratio",50
"2005","S01002000","6 To 8 Week Review","Breastfed","Ratio","58.3"
"2012","S01002000","6 To 8 Week Review","Breastfed","Ratio","33.3"
"2008","S01002000","6 To 8 Week Review","Breastfed","Ratio","33.3"
"2013","S01002000","6 To 8 Week Review","Breastfed","Ratio","42.9"
"2004","S01002000","6 To 8 Week Review","Breastfed","Ratio","44.4"
"2003","S01002000","6 To 8 Week Review","Breastfed","Ratio",40
"2006","S01002000","6 To 8 Week Review","Breastfed","Ratio",25
"2002","S01002000","6 To 8 Week Review","Breastfed","Ratio",40
"2009","S01002000","6 To 8 Week Review","Breastfed","Ratio",40
"2001","S01002000","6 To 8 Week Review","Breastfed","Ratio","22.2"
"2007","S01002000","6 To 8 Week Review","Breastfed","Ratio",40
"2004","S01002000","6 To 8 Week Review","Exclusively Breastfed","Ratio","33.3"
"2005","S01002000","6 To 8 Week Review","Exclusively Breastfed","Ratio",25
"2006","S01002000","6 To 8 Week Review","Exclusively Breastfed","Ratio","12.5"
"2007","S01002000","6 To 8 Week Review","Exclusively Breastfed","Ratio",30
"2008","S01002000","6 To 8 Week Review","Exclusively Breastfed","Ratio","33.3"
"2009","S01002000","6 To 8 Week Review","Exclusively Breastfed","Ratio","33.3"
"2010","S01002000","6 To 8 Week Review","Exclusively Breastfed","Ratio","57.1"
"2011","S01002000","6 To 8 Week Review","Exclusively Breastfed","Ratio",50
"2012","S01002000","6 To 8 Week Review","Exclusively Breastfed","Ratio","33.3"
"2013","S01002000","6 To 8 Week Review","Exclusively Breastfed","Ratio","35.7"
"2003","S01002000","6 To 8 Week Review","Exclusively Breastfed","Ratio",30
"2002","S01002000","6 To 8 Week Review","Exclusively Breastfed","Ratio",40
"2001","S01002000","6 To 8 Week Review","Exclusively Breastfed","Ratio","11.1"
"2004","S01002000","First Visit","Breastfed","Ratio","33.3"
"2001","S01002000","First Visit","Exclusively Breastfed","Ratio","44.4"
"2004","S01002000","First Visit","Exclusively Breastfed","Ratio","11.1"
"2005","S01002000","First Visit","Exclusively Breastfed","Ratio","38.5"
"2007","S01002000","First Visit","Breastfed","Ratio",40
"2011","S01002000","First Visit","Breastfed","Ratio",50
"2012","S01002000","First Visit","Breastfed","Ratio","55.6"
"2008","S01002000","First Visit","Breastfed","Ratio",50
"2002","S01002000","First Visit","Exclusively Breastfed","Ratio",50
"2006","S01002000","First Visit","Exclusively Breastfed","Ratio","14.3"
"2013","S01002000","First Visit","Breastfed","Ratio",40
"2006","S01002000","First Visit","Breastfed","Ratio","14.3"
"2011","S01002000","First Visit","Exclusively Breastfed","Ratio",20
"2012","S01002000","First Visit","Exclusively Breastfed","Ratio","33.3"
"2005","S01002000","First Visit","Breastfed","Ratio","53.8"
"2007","S01002000","First Visit","Exclusively Breastfed","Ratio",30
"2009","S01002000","First Visit","Breastfed","Ratio",40
"2003","S01002000","First Visit","Breastfed","Ratio","36.4"
"2008","S01002000","First Visit","Exclusively Breastfed","Ratio","33.3"
"2003","S01002000","First Visit","Exclusively Breastfed","Ratio","27.3"
"2009","S01002000","First Visit","Exclusively Breastfed","Ratio","33.3"
"2002","S01002000","First Visit","Breastfed","Ratio","66.7"
"2001","S01002000","First Visit","Breastfed","Ratio","44.4"
"2013","S01002000","First Visit","Exclusively Breastfed","Ratio","33.3"
"2010","S01002000","First Visit","Breastfed","Ratio","57.1"
"2010","S01002000","First Visit","Exclusively Breastfed","Ratio","42.9"
"2001","S01002001","First Visit","Exclusively Breastfed","Count",4
"2003","S01002001","6 To 8 Week Review","Breastfed","Count",4
"2004","S01002001","6 To 8 Week Review","Exclusively Breastfed","Count",0
"2004","S01002001","First Visit","Exclusively Breastfed","Count",0
"2007","S01002001","First Visit","Breastfed","Count",7
"2005","S01002001","6 To 8 Week Review","Exclusively Breastfed","Count",2
"2004","S01002001","6 To 8 Week Review","Breastfed","Count",1
"2005","S01002001","First Visit","Exclusively Breastfed","Count",2
"2011","S01002001","First Visit","Breastfed","Count",8
"2010","S01002001","6 To 8 Week Review","Breastfed","Count",8
"2006","S01002001","6 To 8 Week Review","Exclusively Breastfed","Count",2
"2002","S01002001","First Visit","Exclusively Breastfed","Count",3
"2008","S01002001","First Visit","Breastfed","Count",4
"2012","S01002001","6 To 8 Week Review","Breastfed","Count",4
"2006","S01002001","First Visit","Breastfed","Count",5
"2012","S01002001","First Visit","Breastfed","Count",4
"2007","S01002001","6 To 8 Week Review","Exclusively Breastfed","Count",3
"2008","S01002001","6 To 8 Week Review","Exclusively Breastfed","Count",2
"2004","S01002001","First Visit","Breastfed","Count",1
"2006","S01002001","First Visit","Exclusively Breastfed","Count",3
"2008","S01002001","6 To 8 Week Review","Breastfed","Count",4
"2013","S01002001","6 To 8 Week Review","Breastfed","Count",3
"2009","S01002001","6 To 8 Week Review","Exclusively Breastfed","Count",5
"2013","S01002001","First Visit","Breastfed","Count",3
"2011","S01002001","First Visit","Exclusively Breastfed","Count",5
"2010","S01002001","6 To 8 Week Review","Exclusively Breastfed","Count",6
"2002","S01002001","6 To 8 Week Review","Breastfed","Count",2
"2006","S01002001","6 To 8 Week Review","Breastfed","Count",4
"2012","S01002001","First Visit","Exclusively Breastfed","Count",3
"2007","S01002001","First Visit","Exclusively Breastfed","Count",6
"2011","S01002001","6 To 8 Week Review","Exclusively Breastfed","Count",6
"2009","S01002001","6 To 8 Week Review","Breastfed","Count",8
"2008","S01002001","First Visit","Exclusively Breastfed","Count",3
"2012","S01002001","6 To 8 Week Review","Exclusively Breastfed","Count",3
"2009","S01002001","First Visit","Breastfed","Count",9
"2003","S01002001","First Visit","Breastfed","Count",8
"2005","S01002001","First Visit","Breastfed","Count",2
"2013","S01002001","6 To 8 Week Review","Exclusively Breastfed","Count",3
"2005","S01002001","6 To 8 Week Review","Breastfed","Count",2
"2003","S01002001","First Visit","Exclusively Breastfed","Count",5
"2002","S01002001","First Visit","Breastfed","Count",3
"2003","S01002001","6 To 8 Week Review","Exclusively Breastfed","Count",3
"2001","S01002001","6 To 8 Week Review","Breastfed","Count",4
"2009","S01002001","First Visit","Exclusively Breastfed","Count",8
"2001","S01002001","First Visit","Breastfed","Count",4
"2010","S01002001","First Visit","Breastfed","Count",10
"2007","S01002001","6 To 8 Week Review","Breastfed","Count",4
"2002","S01002001","6 To 8 Week Review","Exclusively Breastfed","Count",1
"2013","S01002001","First Visit","Exclusively Breastfed","Count",3
"2001","S01002001","6 To 8 Week Review","Exclusively Breastfed","Count",3
"2010","S01002001","First Visit","Exclusively Breastfed","Count",8
"2011","S01002001","6 To 8 Week Review","Breastfed","Count",7
"2010","S01002001","6 To 8 Week Review","Breastfed","Ratio","72.7"
"2011","S01002001","6 To 8 Week Review","Breastfed","Ratio","77.8"
"2005","S01002001","6 To 8 Week Review","Breastfed","Ratio",50
"2012","S01002001","6 To 8 Week Review","Breastfed","Ratio","57.1"
"2008","S01002001","6 To 8 Week Review","Breastfed","Ratio",100
"2013","S01002001","6 To 8 Week Review","Breastfed","Ratio",60
"2004","S01002001","6 To 8 Week Review","Breastfed","Ratio",100
"2003","S01002001","6 To 8 Week Review","Breastfed","Ratio","44.4"
"2006","S01002001","6 To 8 Week Review","Breastfed","Ratio","57.1"
"2002","S01002001","6 To 8 Week Review","Breastfed","Ratio",25
"2009","S01002001","6 To 8 Week Review","Breastfed","Ratio","88.9"
"2001","S01002001","6 To 8 Week Review","Breastfed","Ratio",100
"2007","S01002001","6 To 8 Week Review","Breastfed","Ratio","66.7"
"2004","S01002001","6 To 8 Week Review","Exclusively Breastfed","Ratio",0
"2005","S01002001","6 To 8 Week Review","Exclusively Breastfed","Ratio",50
"2006","S01002001","6 To 8 Week Review","Exclusively Breastfed","Ratio","28.6"
"2007","S01002001","6 To 8 Week Review","Exclusively Breastfed","Ratio",50
"2008","S01002001","6 To 8 Week Review","Exclusively Breastfed","Ratio",50
"2009","S01002001","6 To 8 Week Review","Exclusively Breastfed","Ratio","55.6"
"2010","S01002001","6 To 8 Week Review","Exclusively Breastfed","Ratio","54.5"
"2011","S01002001","6 To 8 Week Review","Exclusively Breastfed","Ratio","66.7"
"2012","S01002001","6 To 8 Week Review","Exclusively Breastfed","Ratio","42.9"
"2013","S01002001","6 To 8 Week Review","Exclusively Breastfed","Ratio",60
"2003","S01002001","6 To 8 Week Review","Exclusively Breastfed","Ratio","33.3"
"2002","S01002001","6 To 8 Week Review","Exclusively Breastfed","Ratio","12.5"
"2001","S01002001","6 To 8 Week Review","Exclusively Breastfed","Ratio",75
"2004","S01002001","First Visit","Breastfed","Ratio",100
"2001","S01002001","First Visit","Exclusively Breastfed","Ratio",100
"2004","S01002001","First Visit","Exclusively Breastfed","Ratio",0
"2005","S01002001","First Visit","Exclusively Breastfed","Ratio",50
"2007","S01002001","First Visit","Breastfed","Ratio",100
"2011","S01002001","First Visit","Breastfed","Ratio",80
"2012","S01002001","First Visit","Breastfed","Ratio","57.1"
"2008","S01002001","First Visit","Breastfed","Ratio",100
"2002","S01002001","First Visit","Exclusively Breastfed","Ratio","37.5"
"2006","S01002001","First Visit","Exclusively Breastfed","Ratio","42.9"
"2013","S01002001","First Visit","Breastfed","Ratio",60
"2006","S01002001","First Visit","Breastfed","Ratio","71.4"
"2011","S01002001","First Visit","Exclusively Breastfed","Ratio",50
"2012","S01002001","First Visit","Exclusively Breastfed","Ratio","42.9"
"2005","S01002001","First Visit","Breastfed","Ratio",50
"2007","S01002001","First Visit","Exclusively Breastfed","Ratio","85.7"
"2009","S01002001","First Visit","Breastfed","Ratio",90
"2003","S01002001","First Visit","Breastfed","Ratio","88.9"
"2008","S01002001","First Visit","Exclusively Breastfed","Ratio",75
"2003","S01002001","First Visit","Exclusively Breastfed","Ratio","55.6"
"2009","S01002001","First Visit","Exclusively Breastfed","Ratio",80
"2002","S01002001","First Visit","Breastfed","Ratio","37.5"
"2001","S01002001","First Visit","Breastfed","Ratio",100
"2013","S01002001","First Visit","Exclusively Breastfed","Ratio",60
"2010","S01002001","First Visit","Breastfed","Ratio","90.9"
"2010","S01002001","First Visit","Exclusively Breastfed","Ratio","72.7"
"2001","S01002002","First Visit","Exclusively Breastfed","Count",2
"2003","S01002002","6 To 8 Week Review","Breastfed","Count",3
"2004","S01002002","6 To 8 Week Review","Exclusively Breastfed","Count",1
"2004","S01002002","First Visit","Exclusively Breastfed","Count",1
"2007","S01002002","First Visit","Breastfed","Count",1
"2005","S01002002","6 To 8 Week Review","Exclusively Breastfed","Count",1
"2004","S01002002","6 To 8 Week Review","Breastfed","Count",1
"2005","S01002002","First Visit","Exclusively Breastfed","Count",3
"2011","S01002002","First Visit","Breastfed","Count",3
"2010","S01002002","6 To 8 Week Review","Breastfed","Count",7
"2006","S01002002","6 To 8 Week Review","Exclusively Breastfed","Count",4
"2002","S01002002","First Visit","Exclusively Breastfed","Count",1
"2008","S01002002","First Visit","Breastfed","Count",2
"2012","S01002002","6 To 8 Week Review","Breastfed","Count",3
"2006","S01002002","First Visit","Breastfed","Count",4
"2012","S01002002","First Visit","Breastfed","Count",3
"2007","S01002002","6 To 8 Week Review","Exclusively Breastfed","Count",1
"2008","S01002002","6 To 8 Week Review","Exclusively Breastfed","Count",2
"2004","S01002002","First Visit","Breastfed","Count",1
"2006","S01002002","First Visit","Exclusively Breastfed","Count",4
"2008","S01002002","6 To 8 Week Review","Breastfed","Count",2
"2013","S01002002","6 To 8 Week Review","Breastfed","Count",2
"2009","S01002002","6 To 8 Week Review","Exclusively Breastfed","Count",5
"2013","S01002002","First Visit","Breastfed","Count",4
"2011","S01002002","First Visit","Exclusively Breastfed","Count",1
"2010","S01002002","6 To 8 Week Review","Exclusively Breastfed","Count",6
"2002","S01002002","6 To 8 Week Review","Breastfed","Count",1
"2006","S01002002","6 To 8 Week Review","Breastfed","Count",5
"2012","S01002002","First Visit","Exclusively Breastfed","Count",3
"2007","S01002002","First Visit","Exclusively Breastfed","Count",1
"2011","S01002002","6 To 8 Week Review","Exclusively Breastfed","Count",0
"2009","S01002002","6 To 8 Week Review","Breastfed","Count",6
"2008","S01002002","First Visit","Exclusively Breastfed","Count",2
"2012","S01002002","6 To 8 Week Review","Exclusively Breastfed","Count",2
"2009","S01002002","First Visit","Breastfed","Count",6
"2003","S01002002","First Visit","Breastfed","Count",3
"2005","S01002002","First Visit","Breastfed","Count",5
"2013","S01002002","6 To 8 Week Review","Exclusively Breastfed","Count",2
"2005","S01002002","6 To 8 Week Review","Breastfed","Count",5
"2003","S01002002","First Visit","Exclusively Breastfed","Count",3
"2002","S01002002","First Visit","Breastfed","Count",1
"2003","S01002002","6 To 8 Week Review","Exclusively Breastfed","Count",3
"2001","S01002002","6 To 8 Week Review","Breastfed","Count",3
"2009","S01002002","First Visit","Exclusively Breastfed","Count",6
"2001","S01002002","First Visit","Breastfed","Count",3
"2010","S01002002","First Visit","Breastfed","Count",7
"2007","S01002002","6 To 8 Week Review","Breastfed","Count",1
"2002","S01002002","6 To 8 Week Review","Exclusively Breastfed","Count",1
"2013","S01002002","First Visit","Exclusively Breastfed","Count",3
"2001","S01002002","6 To 8 Week Review","Exclusively Breastfed","Count",1
"2010","S01002002","First Visit","Exclusively Breastfed","Count",6
"2011","S01002002","6 To 8 Week Review","Breastfed","Count",2
"2010","S01002002","6 To 8 Week Review","Breastfed","Ratio",100
"2011","S01002002","6 To 8 Week Review","Breastfed","Ratio","66.7"
"2005","S01002002","6 To 8 Week Review","Breastfed","Ratio",100
"2012","S01002002","6 To 8 Week Review","Breastfed","Ratio",100
"2008","S01002002","6 To 8 Week Review","Breastfed","Ratio",100
"2013","S01002002","6 To 8 Week Review","Breastfed","Ratio","66.7"
"2004","S01002002","6 To 8 Week Review","Breastfed","Ratio",100
"2003","S01002002","6 To 8 Week Review","Breastfed","Ratio",75
"2006","S01002002","6 To 8 Week Review","Breastfed","Ratio",100
"2002","S01002002","6 To 8 Week Review","Breastfed","Ratio",100
"2009","S01002002","6 To 8 Week Review","Breastfed","Ratio",100
"2001","S01002002","6 To 8 Week Review","Breastfed","Ratio",100
"2007","S01002002","6 To 8 Week Review","Breastfed","Ratio",100
"2004","S01002002","6 To 8 Week Review","Exclusively Breastfed","Ratio",100
"2005","S01002002","6 To 8 Week Review","Exclusively Breastfed","Ratio",20
"2006","S01002002","6 To 8 Week Review","Exclusively Breastfed","Ratio",80
"2007","S01002002","6 To 8 Week Review","Exclusively Breastfed","Ratio",100
"2008","S01002002","6 To 8 Week Review","Exclusively Breastfed","Ratio",100
"2009","S01002002","6 To 8 Week Review","Exclusively Breastfed","Ratio","83.3"
"2010","S01002002","6 To 8 Week Review","Exclusively Breastfed","Ratio","85.7"
"2011","S01002002","6 To 8 Week Review","Exclusively Breastfed","Ratio",0
"2012","S01002002","6 To 8 Week Review","Exclusively Breastfed","Ratio","66.7"
"2013","S01002002","6 To 8 Week Review","Exclusively Breastfed","Ratio","66.7"
"2003","S01002002","6 To 8 Week Review","Exclusively Breastfed","Ratio",75
"2002","S01002002","6 To 8 Week Review","Exclusively Breastfed","Ratio",100
"2001","S01002002","6 To 8 Week Review","Exclusively Breastfed","Ratio","33.3"
"2004","S01002002","First Visit","Breastfed","Ratio",100
"2001","S01002002","First Visit","Exclusively Breastfed","Ratio","66.7"
"2004","S01002002","First Visit","Exclusively Breastfed","Ratio",100
"2005","S01002002","First Visit","Exclusively Breastfed","Ratio",60
"2007","S01002002","First Visit","Breastfed","Ratio",100
"2011","S01002002","First Visit","Breastfed","Ratio",75
"2012","S01002002","First Visit","Breastfed","Ratio",100
"2008","S01002002","First Visit","Breastfed","Ratio",100
"2002","S01002002","First Visit","Exclusively Breastfed","Ratio",100
"2006","S01002002","First Visit","Exclusively Breastfed","Ratio",100
"2013","S01002002","First Visit","Breastfed","Ratio",100
"2006","S01002002","First Visit","Breastfed","Ratio",100
"2011","S01002002","First Visit","Exclusively Breastfed","Ratio",25
"2012","S01002002","First Visit","Exclusively Breastfed","Ratio",100
"2005","S01002002","First Visit","Breastfed","Ratio",100
"2007","S01002002","First Visit","Exclusively Breastfed","Ratio",100
"2009","S01002002","First Visit","Breastfed","Ratio",100
"2003","S01002002","First Visit","Breastfed","Ratio",75
"2008","S01002002","First Visit","Exclusively Breastfed","Ratio",100
"2003","S01002002","First Visit","Exclusively Breastfed","Ratio",75
"2009","S01002002","First Visit","Exclusively Breastfed","Ratio",100
"2002","S01002002","First Visit","Breastfed","Ratio",100
"2001","S01002002","First Visit","Breastfed","Ratio",100
"2013","S01002002","First Visit","Exclusively Breastfed","Ratio",75
"2010","S01002002","First Visit","Breastfed","Ratio",100
"2010","S01002002","First Visit","Exclusively Breastfed","Ratio","85.7"
"2001","S01002003","First Visit","Exclusively Breastfed","Count",6
"2003","S01002003","6 To 8 Week Review","Breastfed","Count",3
"2004","S01002003","6 To 8 Week Review","Exclusively Breastfed","Count",5
"2004","S01002003","First Visit","Exclusively Breastfed","Count",5
"2007","S01002003","First Visit","Breastfed","Count",7
"2005","S01002003","6 To 8 Week Review","Exclusively Breastfed","Count",4
"2004","S01002003","6 To 8 Week Review","Breastfed","Count",5
"2005","S01002003","First Visit","Exclusively Breastfed","Count",6
"2011","S01002003","First Visit","Breastfed","Count",6
"2010","S01002003","6 To 8 Week Review","Breastfed","Count",4
"2006","S01002003","6 To 8 Week Review","Exclusively Breastfed","Count",3
"2002","S01002003","First Visit","Exclusively Breastfed","Count",8
"2008","S01002003","First Visit","Breastfed","Count",7
"2012","S01002003","6 To 8 Week Review","Breastfed","Count",5
"2006","S01002003","First Visit","Breastfed","Count",4
"2012","S01002003","First Visit","Breastfed","Count",5
"2007","S01002003","6 To 8 Week Review","Exclusively Breastfed","Count",4
"2008","S01002003","6 To 8 Week Review","Exclusively Breastfed","Count",2
"2004","S01002003","First Visit","Breastfed","Count",5
"2006","S01002003","First Visit","Exclusively Breastfed","Count",3
"2008","S01002003","6 To 8 Week Review","Breastfed","Count",4
"2013","S01002003","6 To 8 Week Review","Breastfed","Count",5
"2009","S01002003","6 To 8 Week Review","Exclusively Breastfed","Count",5
"2013","S01002003","First Visit","Breastfed","Count",7
"2011","S01002003","First Visit","Exclusively Breastfed","Count",4
"2010","S01002003","6 To 8 Week Review","Exclusively Breastfed","Count",4
"2002","S01002003","6 To 8 Week Review","Breastfed","Count",8
"2006","S01002003","6 To 8 Week Review","Breastfed","Count",4
"2012","S01002003","First Visit","Exclusively Breastfed","Count",4
"2007","S01002003","First Visit","Exclusively Breastfed","Count",5
"2011","S01002003","6 To 8 Week Review","Exclusively Breastfed","Count",2
"2009","S01002003","6 To 8 Week Review","Breastfed","Count",6
"2008","S01002003","First Visit","Exclusively Breastfed","Count",6
"2012","S01002003","6 To 8 Week Review","Exclusively Breastfed","Count",4
"2009","S01002003","First Visit","Breastfed","Count",6
"2003","S01002003","First Visit","Breastfed","Count",6
"2005","S01002003","First Visit","Breastfed","Count",8
"2013","S01002003","6 To 8 Week Review","Exclusively Breastfed","Count",3
"2005","S01002003","6 To 8 Week Review","Breastfed","Count",5
"2003","S01002003","First Visit","Exclusively Breastfed","Count",5
"2002","S01002003","First Visit","Breastfed","Count",9
"2003","S01002003","6 To 8 Week Review","Exclusively Breastfed","Count",3
"2001","S01002003","6 To 8 Week Review","Breastfed","Count",5
"2009","S01002003","First Visit","Exclusively Breastfed","Count",5
"2001","S01002003","First Visit","Breastfed","Count",8
"2010","S01002003","First Visit","Breastfed","Count",5
"2007","S01002003","6 To 8 Week Review","Breastfed","Count",4
"2002","S01002003","6 To 8 Week Review","Exclusively Breastfed","Count",7
"2013","S01002003","First Visit","Exclusively Breastfed","Count",5
"2001","S01002003","6 To 8 Week Review","Exclusively Breastfed","Count",5
"2010","S01002003","First Visit","Exclusively Breastfed","Count",4
"2011","S01002003","6 To 8 Week Review","Breastfed","Count",4
"2010","S01002003","6 To 8 Week Review","Breastfed","Ratio","28.6"
"2011","S01002003","6 To 8 Week Review","Breastfed","Ratio",40
"2005","S01002003","6 To 8 Week Review","Breastfed","Ratio","41.7"
"2012","S01002003","6 To 8 Week Review","Breastfed","Ratio","71.4"
"2008","S01002003","6 To 8 Week Review","Breastfed","Ratio",50
"2013","S01002003","6 To 8 Week Review","Breastfed","Ratio","41.7"
"2004","S01002003","6 To 8 Week Review","Breastfed","Ratio","55.6"
"2003","S01002003","6 To 8 Week Review","Breastfed","Ratio",30
"2006","S01002003","6 To 8 Week Review","Breastfed","Ratio","36.4"
"2002","S01002003","6 To 8 Week Review","Breastfed","Ratio","72.7"
"2009","S01002003","6 To 8 Week Review","Breastfed","Ratio",50
"2001","S01002003","6 To 8 Week Review","Breastfed","Ratio","45.5"
"2007","S01002003","6 To 8 Week Review","Breastfed","Ratio","22.2"
"2004","S01002003","6 To 8 Week Review","Exclusively Breastfed","Ratio","55.6"
"2005","S01002003","6 To 8 Week Review","Exclusively Breastfed","Ratio","33.3"
"2006","S01002003","6 To 8 Week Review","Exclusively Breastfed","Ratio","27.3"
"2007","S01002003","6 To 8 Week Review","Exclusively Breastfed","Ratio","22.2"
"2008","S01002003","6 To 8 Week Review","Exclusively Breastfed","Ratio",25
"2009","S01002003","6 To 8 Week Review","Exclusively Breastfed","Ratio","41.7"
"2010","S01002003","6 To 8 Week Review","Exclusively Breastfed","Ratio","28.6"
"2011","S01002003","6 To 8 Week Review","Exclusively Breastfed","Ratio",20
"2012","S01002003","6 To 8 Week Review","Exclusively Breastfed","Ratio","57.1"
"2013","S01002003","6 To 8 Week Review","Exclusively Breastfed","Ratio",25
"2003","S01002003","6 To 8 Week Review","Exclusively Breastfed","Ratio",30
"2002","S01002003","6 To 8 Week Review","Exclusively Breastfed","Ratio","63.6"
"2001","S01002003","6 To 8 Week Review","Exclusively Breastfed","Ratio","45.5"
"2004","S01002003","First Visit","Breastfed","Ratio","55.6"
"2001","S01002003","First Visit","Exclusively Breastfed","Ratio",50
"2004","S01002003","First Visit","Exclusively Breastfed","Ratio","55.6"
"2005","S01002003","First Visit","Exclusively Breastfed","Ratio",50
"2007","S01002003","First Visit","Breastfed","Ratio","41.2"
"2011","S01002003","First Visit","Breastfed","Ratio",60
"2012","S01002003","First Visit","Breastfed","Ratio","71.4"
"2008","S01002003","First Visit","Breastfed","Ratio","87.5"
"2002","S01002003","First Visit","Exclusively Breastfed","Ratio","72.7"
"2006","S01002003","First Visit","Exclusively Breastfed","Ratio",30
"2013","S01002003","First Visit","Breastfed","Ratio","53.8"
"2006","S01002003","First Visit","Breastfed","Ratio",40
"2011","S01002003","First Visit","Exclusively Breastfed","Ratio",40
